step,train_geo_rec_loss_step
49,0.0
99,0.0
149,0.0
199,0.0
249,0.0
299,0.0
349,0.0
399,0.0
449,0.0
499,0.0
549,0.0
599,0.0
649,0.0
699,0.0
749,0.0
799,0.0
849,0.0
899,0.0
949,0.0
999,0.0
1049,0.0
1099,0.0
1149,0.0
1199,0.0
1249,0.0
1299,0.0
1349,0.0
1399,0.0
1449,0.0
1499,0.0
1549,0.0
1599,0.0
1649,0.0
1699,0.0
1749,0.0
1799,0.0
1849,0.0
1899,0.0
1949,0.0
1999,0.0
2049,0.0
2099,0.0
2149,0.0
2199,0.0
2249,0.0
2299,0.0
2349,0.0
2399,0.0
2449,0.0
2499,0.0
2549,0.0
2599,0.0
2649,0.0
2699,0.0
2749,0.0
2799,0.0
2849,0.0
2899,0.0
2949,0.0
2999,0.0
3049,0.0
3099,0.0
3149,0.0
3199,0.0
3249,0.0
3299,0.0
3349,0.0
3399,0.0
3449,0.0
3499,0.0
3549,0.0
3599,0.0
3649,0.0
3699,0.0
3749,0.0
3799,0.0
3849,0.0
3899,0.0
3949,0.0
3999,0.0
4049,0.0
4099,0.0
4149,0.0
4199,0.0
4249,0.0
4299,0.0
4349,0.0
4399,0.0
4449,0.0
4499,0.0
4549,0.0
4599,0.0
4649,0.0
4699,0.0
4749,0.0
4799,0.0
4849,0.0
4899,0.0
4949,0.0
4999,0.0
5049,0.0
5099,0.0
5149,0.0
5199,0.0
5249,0.0
5299,0.0
5349,0.0
5399,0.0
5449,0.0
5499,0.0
5549,0.0
5599,0.0
5649,0.0
5699,0.0
5749,0.0
5799,0.0
5849,0.0
5899,0.0
5949,0.0
5999,0.0
6049,0.0
6099,0.0
6149,0.0
6199,0.0
6249,0.0
6299,0.0
6349,0.0
6399,0.0
6449,0.0
6499,0.0
6549,0.0
6599,0.0
6649,0.0
6699,0.0
6749,0.0
6799,0.0
6849,0.0
6899,0.0
6949,0.0
6999,0.0
7049,0.0
7099,0.0
7149,0.0
7199,0.0
7249,0.0
7299,0.0
7349,0.0
7399,0.0
7449,0.0
7499,0.0
7549,0.0
7599,0.0
7649,0.0
7699,0.0
7749,0.0
7799,0.0
7849,0.0
7899,0.0
7949,0.0
7999,0.0
8049,0.0
8099,0.0
8149,0.0
8199,0.0
8249,0.0
8299,0.0
8349,0.0
8399,0.0
8449,0.0
8499,0.0
8549,0.0
8599,0.0
8649,0.0
8699,0.0
8749,0.0
8799,0.0
8849,0.0
8899,0.0
8949,0.0
8999,0.0
9049,0.0
9099,0.0
9149,0.0
9199,0.0
9249,0.0
9299,0.0
9349,0.0
9399,0.0
9449,0.0
9499,0.0
9549,0.0
9599,0.0
9649,0.0
9699,0.0
9749,0.0
9799,0.0
9849,0.0
9899,0.0
9949,0.0
9999,0.0
10049,0.0
10099,0.0
10149,0.0
10199,0.0
10249,0.0
10299,0.0
10349,0.0
10399,0.0
10449,0.0
10499,0.0
10549,0.0
10599,0.0
10649,0.0
10699,0.0
10749,0.0
10799,0.0
10849,0.0
10899,0.0
10949,0.0
10999,0.0
11049,0.0
11099,0.0
11149,0.0
11199,0.0
11249,0.0
11299,0.0
11349,0.0
11399,0.0
11449,0.0
11499,0.0
11549,0.0
11599,0.0
11649,0.0
11699,0.0
11749,0.0
11799,0.0
11849,0.0
11899,0.0
11949,0.0
11999,0.0
12049,0.0
12099,0.0
12149,0.0
12199,0.0
12249,0.0
12299,0.0
12349,0.0
12399,0.0
12449,0.0
12499,0.0
12549,0.0
12599,0.0
12649,0.0
12699,0.0
12749,0.0
12799,0.0
12849,0.0
12899,0.0
12949,0.0
12999,0.0
13049,0.0
13099,0.0
13149,0.0
13199,0.0
13249,0.0
13299,0.0
13349,0.0
13399,0.0
13449,0.0
13499,0.0
13549,0.0
13599,0.0
13649,0.0
13699,0.0
13749,0.0
13799,0.0
13849,0.0
13899,0.0
13949,0.0
13999,0.0
14049,0.0
14099,0.0
14149,0.0
14199,0.0
14249,0.0
14299,0.0
14349,0.0
14399,0.0
14449,0.0
14499,0.0
14549,0.0
14599,0.0
14649,0.0
14699,0.0
14749,0.0
14799,0.0
14849,0.0
14899,0.0
14949,0.0
14999,0.0
15049,0.0
15099,0.0
15149,0.0
15199,0.0
15249,0.0
15299,0.0
15349,0.0
15399,0.0
15449,0.0
15499,0.0
15549,0.0
15599,0.0
15649,0.0
15699,0.0
15749,0.0
15799,0.0
15849,0.0
15899,0.0
15949,0.0
15999,0.0
16049,0.0
16099,0.0
16149,0.0
16199,0.0
16249,0.0
16299,0.0
16349,0.0
16399,0.0
16449,0.0
16499,0.0
16549,0.0
16599,0.0
16649,0.0
16699,0.0
16749,0.0
16799,0.0
16849,0.0
16899,0.0
16949,0.0
16999,0.0
17049,0.0
17099,0.0
17149,0.0
17199,0.0
17249,0.0
17299,0.0
17349,0.0
17399,0.0
17449,0.0
17499,0.0
17549,0.0
17599,0.0
17649,0.0
17699,0.0
17749,0.0
17799,0.0
17849,0.0
17899,0.0
17949,0.0
17999,0.0
18049,0.0
18099,0.0
18149,0.0
18199,0.0
18249,0.0
18299,0.0
18349,0.0
18399,0.0
18449,0.0
18499,0.0
18549,0.0
18599,0.0
18649,0.0
18699,0.0
18749,0.0
18799,0.0
18849,0.0
18899,0.0
18949,0.0
18999,0.0
19049,0.0
19099,0.0
19149,0.0
19199,0.0
19249,0.0
19299,0.0
19349,0.0
19399,0.0
19449,0.0
19499,0.0
19549,0.0
19599,0.0
19649,0.0
19699,0.0
19749,0.0
19799,0.0
19849,0.0
19899,0.0
19949,0.0
19999,0.0
20049,0.0
20099,0.0
20149,0.0
20199,0.0
20249,0.0
20299,0.0
20349,0.0
20399,0.0
